,Current_Speed_(knots),Height (cm),Height (ft),Moon Illuminated,Current speed category
580,0.2,,,0.96,Weak Current
581,0.0,,,0.96,No Current
582,,197.0,6.47,0.96,
583,,297.0,9.75,0.96,
584,0.0,,,0.96,No Current
585,0.6,,,0.96,Weak Current
586,,5.0,0.18,0.96,
587,0.0,,,0.96,No Current
588,0.2,,,0.99,Weak Current
589,0.0,,,0.99,No Current
590,,354.0,11.63,0.99,
591,0.2,,,0.99,Weak Current
592,0.0,,,0.99,No Current
593,,180.0,5.92,0.99,
594,0.1,,,0.99,Weak Current
595,,300.0,9.83,0.99,
596,0.0,,,0.99,No Current
597,0.6,,,0.99,Weak Current
598,,2.0,0.05,0.99,
599,0.0,,,1.0,No Current
600,0.2,,,1.0,Weak Current
601,0.0,,,1.0,No Current
602,,352.0,11.55,1.0,
603,0.2,,,1.0,Weak Current
604,0.0,,,1.0,No Current
605,,162.0,5.32,1.0,
606,0.1,,,1.0,Weak Current
607,,301.0,9.86,1.0,
608,0.0,,,1.0,No Current
609,0.6,,,1.0,Weak Current
610,,15.0,0.49,1.0,
611,0.0,,,0.99,No Current
612,0.2,,,0.99,Weak Current
613,0.0,,,0.99,No Current
614,,352.0,11.54,0.99,
615,0.2,,,0.99,Weak Current
616,0.0,,,0.99,No Current
617,,141.0,4.62,0.99,
618,0.1,,,0.99,Weak Current
619,,299.0,9.82,0.99,
620,0.0,,,0.99,No Current
621,0.5,,,0.99,Weak Current
622,,35.0,1.16,0.99,
623,0.0,,,0.97,No Current
624,0.2,,,0.97,Weak Current
625,0.0,,,0.97,No Current
626,,353.0,11.57,0.97,
627,0.3,,,0.97,Weak Current
628,,117.0,3.84,0.97,
629,0.0,,,0.97,No Current
630,0.2,,,0.97,Weak Current
631,,297.0,9.75,0.97,
632,0.0,,,0.97,No Current
633,0.5,,,0.97,Weak Current
634,,63.0,2.06,0.93,
635,0.0,,,0.93,No Current
636,0.2,,,0.93,Weak Current
637,,353.0,11.59,0.93,
638,0.0,,,0.93,No Current
639,0.4,,,0.93,Weak Current
640,,92.0,3.03,0.93,
641,0.0,,,0.93,No Current
642,0.2,,,0.93,Weak Current
643,,294.0,9.64,0.93,
644,0.0,,,0.93,No Current
645,0.4,,,0.93,Weak Current
646,,96.0,3.16,0.88,
647,0.0,,,0.88,No Current
648,0.1,,,0.88,Weak Current
649,,350.0,11.49,0.88,
650,0.0,,,0.88,No Current
651,0.5,,,0.88,Weak Current
652,,69.0,2.28,0.88,
653,0.0,,,0.88,No Current
654,0.2,,,0.88,Weak Current
655,,290.0,9.52,0.88,
656,0.0,,,0.88,No Current
657,0.3,,,0.81,Weak Current
658,,134.0,4.4,0.81,
659,0.0,,,0.81,No Current
660,0.2,,,0.81,Weak Current
661,0.0,,,0.81,No Current
662,,344.0,11.27,0.81,
663,0.5,,,0.81,Weak Current
664,,51.0,1.66,0.81,
665,0.0,,,0.81,No Current
666,0.2,,,0.81,Weak Current
667,,286.0,9.38,0.81,
668,0.0,,,0.81,No Current
669,0.2,,,0.73,Weak Current
670,,174.0,5.7,0.73,
671,0.0,,,0.73,No Current
672,0.2,,,0.73,Weak Current
673,0.0,,,0.73,No Current
674,,333.0,10.94,0.73,
675,0.5,,,0.73,Weak Current
676,,36.0,1.19,0.73,
677,0.0,,,0.73,No Current
678,0.1,,,0.73,Weak Current
679,,282.0,9.25,0.73,
680,0.0,,,0.73,No Current
681,0.1,,,0.63,Weak Current
682,,212.0,6.97,0.63,
683,0.0,,,0.63,No Current
684,0.2,,,0.63,Weak Current
685,0.0,,,0.63,No Current
686,,322.0,10.55,0.63,
687,0.5,,,0.63,Weak Current
688,,26.0,0.86,0.63,
689,0.0,,,0.63,No Current
690,0.1,,,0.63,Weak Current
691,0.0,,,0.63,No Current
692,,281.0,9.22,0.63,
693,,247.0,8.1,0.53,
694,0.0,,,0.53,No Current
695,0.1,,,0.53,Weak Current
696,0.0,,,0.53,No Current
697,,309.0,10.15,0.53,
698,0.5,,,0.53,Weak Current
699,,18.0,0.59,0.53,
700,0.0,,,0.53,No Current
701,0.2,,,0.53,Weak Current
702,0.0,,,0.53,No Current
703,,290.0,9.53,0.43,
704,0.0,,,0.43,No Current
705,0.0,,,0.43,No Current
706,,271.0,8.89,0.43,
707,0.1,,,0.43,Weak Current
708,0.0,,,0.43,No Current
709,,298.0,9.78,0.43,
710,0.5,,,0.43,Weak Current
711,,6.0,0.21,0.43,
712,0.0,,,0.43,No Current
713,0.2,,,0.43,Weak Current
714,0.0,,,0.32,No Current
715,,310.0,10.17,0.32,
716,0.0,,,0.32,No Current
717,0.0,,,0.32,No Current
718,,272.0,8.93,0.32,
719,0.0,,,0.32,No Current
720,,292.0,9.58,0.32,
721,0.5,,,0.32,Weak Current
722,,10.0,0.34,0.32,
723,0.0,,,0.32,No Current
724,0.2,,,0.32,Weak Current
725,0.0,,,0.22,No Current
726,,328.0,10.76,0.22,
